Evaluation

batch_size=40
check_for_lowercase=True
clip_grad=5
cross_fold_id=-1
cross_folds_num=-1
data_dir='data/rt-polarity'
dataset_sort=False
dropout_ratio=0.5
emb_delimiter=' '
emb_dim=300
emb_fn='/playpen2/home/peter/xu/data/glove.840B.300d.txt'
emb_load_all=False
epoch_num=200
evaluator='token-acc'
freeze_word_embeddings=False
gpu=1
hadamard_importance=False
kmeans_init=True
lambda_sep=0.1
latent_dim=None
load_name=None
lr=0.015
lr_decay=0.05
max_pool_protos=True
min_epoch_num=1
model='ProtoBiRNN'
momentum=0.9
no_eval_til=0
num_prototypes_per_class=40
opt='sgd'
patience=80
pooling_type='attention'
pre_eval=False
pretrained_model='attention-16d'
proto_dim=16
push_after=20
rnn_hidden_dim=50
rnn_type='LSTM'
save_best=True
save_data=False
save_dir='saved_models'
save_name='proto-p40-kmeans-push20'
seed_num=10
similarity_epsilon=0.01
similarity_function_name='gaussian'
start_epoch=0
unfreeze_feature_extractor=0
unfreeze_lin_layer=1000
verbose=True
word_seq_indexer='data/word_seq_indexer'

         epoch  |     train loss | token-acc-train |  token-acc-dev | token-acc-test |      cross_ent |         l1-pen |       sep_loss 
            171 |           0.03 |          94.86 |          82.04 |          80.93 |           0.40 |           0.00 |          -3.65 
            172 |          -0.00 |          94.65 |          82.63 |          80.50 |           0.37 |           0.00 |          -3.75 
            173 |           0.04 |          94.65 |          82.63 |          80.59 |           0.40 |           0.00 |          -3.62 
            174 |          -0.01 |          94.61 |          82.75 |          80.79 |           0.37 |           0.00 |          -3.77 
            175 |           0.04 |          95.02 |          81.56 |          80.74 |           0.40 |           0.00 |          -3.62 
            176 |          -0.00 |          94.81 |          82.04 |          80.26 |           0.37 |           0.00 |          -3.75 
            177 |          -0.00 |          94.85 |          81.68 |          80.35 |           0.37 |           0.00 |          -3.75 
            178 |           0.00 |          95.02 |          81.32 |          80.31 |           0.38 |           0.00 |          -3.74 
            179 |           0.04 |          94.95 |          81.68 |          80.40 |           0.40 |           0.00 |          -3.62 
            180 |           0.03 |          95.13 |          81.32 |          80.59 |           0.40 |           0.00 |          -3.65 
            181 |           0.02 |          94.29 |          80.84 |          79.92 |           0.39 |           0.00 |          -3.69 
            182 |           0.01 |          94.86 |          82.04 |          80.74 |           0.38 |           0.00 |          -3.72 
            183 |           0.01 |          94.62 |          80.60 |          80.45 |           0.38 |           0.00 |          -3.72 
            184 |           0.01 |          94.86 |          81.56 |          80.69 |           0.38 |           0.00 |          -3.73 
            185 |           0.01 |          94.94 |          81.80 |          80.59 |           0.38 |           0.00 |          -3.71 
            186 |           0.07 |          94.85 |          81.44 |          80.59 |           0.42 |           0.00 |          -3.54 
            187 |           0.01 |          94.17 |          80.72 |          79.92 |           0.38 |           0.00 |          -3.70 
            188 |           0.05 |          94.85 |          81.44 |          80.50 |           0.41 |           0.00 |          -3.61 
            189 |           0.03 |          95.03 |          82.28 |          81.12 |           0.40 |           0.00 |          -3.65 
            190 |           0.03 |          95.13 |          81.56 |          80.83 |           0.40 |           0.00 |          -3.65 
            191 |          -0.00 |          95.15 |          82.28 |          80.69 |           0.37 |           0.00 |          -3.76 
            192 |           0.03 |          95.11 |          81.80 |          80.59 |           0.39 |           0.00 |          -3.67 
            193 |           0.03 |          94.99 |          81.44 |          80.31 |           0.39 |           0.00 |          -3.67 
            194 |           0.05 |          95.10 |          82.16 |          80.93 |           0.41 |           0.00 |          -3.61 
            195 |           0.02 |          95.33 |          81.68 |          80.74 |           0.39 |           0.00 |          -3.68 
            196 |           0.04 |          95.33 |          81.68 |          80.83 |           0.40 |           0.00 |          -3.62 
            197 |           0.03 |          94.87 |          81.92 |          80.83 |           0.40 |           0.00 |          -3.65 
            198 |           0.01 |          95.27 |          82.04 |          80.40 |           0.38 |           0.00 |          -3.73 
            199 |          -0.00 |          95.30 |          81.80 |          80.74 |           0.37 |           0.00 |          -3.76 
            200 |           0.03 |          95.09 |          82.40 |          80.83 |           0.39 |           0.00 |          -3.67 
------------------------------------------------------------------------------------------------------------------------------------------
Final eval on test, "save best", best epoch on dev 123, token-acc, dev = 82.99 | test = 80.64)
------------------------------------------------------------------------------------------------------------------------------------------
*** Token-level accuracy: 80.64% ***
 	 TP: 79.05 | abs: 845
 	 FP: 20.95 | abs: 224
 	 TN: 82.32 | abs: 838
 	 FN: 17.68 | abs: 180
Neg class: neg, Pos class: pos
Input arguments:
python3 main.py --gpu 1 --push-after 20 --save-name proto-p40-kmeans-push20 -p 40 --kmeans-init True

 Best performance: 80.6421
