Evaluation

batch_size=1000
cross_fold_id=-1
cross_folds_num=-1
data_name='adult'
dataset_sort=False
dropout_ratio=0
epoch_num=300
evaluator='token-acc'
gpu=0
hadamard_importance=False
hidden_dim=50
input_dim=66
kmeans_init=True
lambda_sep=0.1
latent_dim=None
load_name=None
lr=0.001
lr_decay=0
max_pool_protos=True
min_epoch_num=1
model='ProtoMLP'
momentum=0.9
no_eval_til=0
num_prototypes_per_class=20
opt='sgd'
patience=150
pooling_type='attention'
pre_eval=False
pretrained_model='mlp-16d'
proto_dim=16
push_after=80
save_best=True
save_data=False
save_dir='saved_models'
save_name='proto-20-push80'
seed_num=10
similarity_epsilon=0.01
similarity_function_name='gaussian'
start_epoch=0
unfreeze_feature_extractor=0
unfreeze_lin_layer=1000
verbose=True
weight_decay=0.0001

         epoch  |     train loss | token-acc-train |  token-acc-dev | token-acc-test |      cross_ent |         l1-pen |       sep_loss 
            115 |           0.31 |          82.92 |          80.42 |          82.22 |           0.48 |           0.00 |          -1.76 
            116 |           0.31 |          82.90 |          80.17 |          82.09 |           0.48 |           0.00 |          -1.73 
            117 |           0.36 |          82.89 |          80.23 |          81.84 |           0.50 |           0.00 |          -1.35 
            118 |           0.36 |          82.94 |          80.36 |          82.09 |           0.49 |           0.00 |          -1.36 
            119 |           0.34 |          82.98 |          80.36 |          82.15 |           0.48 |           0.00 |          -1.41 
            120 |           0.37 |          82.98 |          80.42 |          82.15 |           0.51 |           0.00 |          -1.38 
            121 |           0.34 |          82.97 |          80.42 |          81.96 |           0.49 |           0.00 |          -1.46 
            122 |           0.36 |          82.97 |          80.42 |          81.96 |           0.50 |           0.00 |          -1.45 
            123 |           0.35 |          83.04 |          80.29 |          82.22 |           0.50 |           0.00 |          -1.49 
            124 |           0.34 |          82.96 |          80.61 |          82.66 |           0.49 |           0.00 |          -1.52 
            125 |           0.34 |          83.04 |          80.61 |          82.66 |           0.49 |           0.00 |          -1.50 
            126 |           0.34 |          83.08 |          80.36 |          82.66 |           0.49 |           0.00 |          -1.47 
            127 |           0.33 |          83.19 |          80.42 |          82.79 |           0.48 |           0.00 |          -1.55 
            128 |           0.34 |          83.20 |          80.55 |          82.86 |           0.50 |           0.00 |          -1.51 
            129 |           0.35 |          82.97 |          80.29 |          82.73 |           0.50 |           0.00 |          -1.55 
            130 |           0.35 |          82.90 |          80.23 |          82.54 |           0.49 |           0.00 |          -1.43 
            131 |           0.35 |          82.99 |          80.55 |          82.54 |           0.50 |           0.00 |          -1.46 
            132 |           0.33 |          83.08 |          80.61 |          82.60 |           0.49 |           0.00 |          -1.52 
            133 |           0.33 |          82.90 |          80.17 |          82.54 |           0.49 |           0.00 |          -1.56 
            134 |           0.34 |          83.20 |          80.42 |          82.22 |           0.48 |           0.00 |          -1.47 
            135 |           0.34 |          83.14 |          80.48 |          82.35 |           0.49 |           0.00 |          -1.48 
            136 |           0.33 |          82.85 |          80.17 |          82.47 |           0.48 |           0.00 |          -1.49 
            137 |           0.36 |          82.85 |          80.23 |          82.66 |           0.50 |           0.00 |          -1.41 
            138 |           0.34 |          82.81 |          80.42 |          82.47 |           0.49 |           0.00 |          -1.46 
            139 |           0.34 |          82.97 |          80.93 |          82.54 |           0.48 |           0.00 |          -1.39 
            140 |           0.36 |          82.93 |          80.61 |          82.54 |           0.49 |           0.00 |          -1.34 
            141 |           0.33 |          82.95 |          80.36 |          82.66 |           0.47 |           0.00 |          -1.38 
            142 |           0.34 |          82.93 |          80.17 |          82.66 |           0.48 |           0.00 |          -1.42 
            143 |           0.37 |          83.02 |          80.55 |          83.05 |           0.51 |           0.00 |          -1.34 
            144 |           0.36 |          82.90 |          80.55 |          83.11 |           0.50 |           0.00 |          -1.45 
            145 |           0.36 |          82.85 |          80.55 |          82.86 |           0.50 |           0.00 |          -1.42 
            146 |           0.33 |          82.96 |          80.93 |          82.22 |           0.49 |           0.00 |          -1.58 
            147 |           0.34 |          82.97 |          80.74 |          82.35 |           0.49 |           0.00 |          -1.53 
